id,title,author,isbn,num_pages,average_rating,ratings_count,text_reviews_count,book_format
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,,652,4.57,2218107,29552,Paperback
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,0439358078,870,4.50,2284052,31545,Paperback
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,,309,4.47,6562116,79693,Hardcover
4,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,0439554896,352,4.43,6388,244,Hardcover
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,043965548X,435,4.57,2510765,39248,Mass Market Paperback
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,,734,4.56,2343335,33821,Paperback
7,"The Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,0439887453,,4.73,1657,112,Paperback
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",J.K. Rowling,0439682584,2690,4.78,50359,175,Paperback
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,0976540606,152,3.83,21,1,Paperback
10,"Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,0439827604,3342,4.73,28946,839,Hardcover
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,,216,4.22,952841,16368,Mass Market Paperback
12,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,0517226952,815,4.36,3656,257,Leather Bound
13,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,0345453743,815,4.36,262544,4227,Paperback
14,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1400052920,215,4.22,6405,530,Hardcover
15,The Hitchhiker's Guide to Lean: Lessons from the Road,Jamie Flinchbaugh,0872638316,,3.71,56,4,
16,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,0739322206,6,4.22,1304,263,Audio CD
17,"The Hitchhiker's Guide to the Galaxy: Quandary Phase (Hitchhiker's Guide: Radio Play, #4)",Douglas Adams,1572704888,,4.34,637,25,Audio CD
18,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,0517149257,815,4.36,2932,198,Hardcover
19,"The Hitchhiker's Guide to the Galaxy: Quintessential Phase (Hitchhiker's Guide: Radio Play, #5)",Douglas Adams,0792738586,,4.37,11,0,Audio CD
21,A Short History of Nearly Everything,Bill Bryson,076790818X,544,4.20,267601,9968,Paperback
22,Bill Bryson's African Diary,Bill Bryson,0767915062,55,3.45,7463,512,Hardcover
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,0767910435,256,3.88,2149,135,Paperback
24,In a Sunburned Country,Bill Bryson,0767903862,335,4.07,76107,4433,Paperback
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,076790382X,304,3.89,50633,2282,Paperback
