,id,title,author,isbn,num_pages,average_rating,ratings_count,reviews_count
0,269831,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,9780552149518,593,3.85,11131,16848
1,72193,"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,9780747532743,223,4.47,35681,46671
2,41643790,Harry Potter and the Chamber of Secrets,J.K. Rowling,9780747538486,251,4.43,1356,2255
3,578587,"Angels and Demons (Robert Langdon, #1)",Dan Brown,9780552150736,620,3.9,13417,20926
4,444327,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,9780747551003,766,4.5,18397,25926
5,93124,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,9780747581086,607,4.57,25558,36177
6,820343,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,9780747591054,607,4.62,17986,26140
7,464164,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,9780747546290,317,4.57,26576,35009
8,871224,"Twilight (Twilight, #1)",Stephenie Meyer,9781904233657,434,3.6,4378,7767
9,864890,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,9780747550990,636,4.56,13072,18408
10,977,Deception Point,Dan Brown,9780552151764,585,3.72,3436,6287
11,2326730,"New Moon (Twilight, #2)",Stephenie Meyer,9781904233886,497,3.54,4527,8025
12,5163858,The Lovely Bones,Alice Sebold,9780330457729,323,3.81,893,1659
13,44775909,Digital Fortress,Dan Brown,9780552151696,511,3.66,154,416
14,3437,The Curious Incident of the Dog in the Night-Time,Mark Haddon,9780099450252,272,3.88,17476,23957
15,2650712,"Eclipse (Twilight, #3)",Stephenie Meyer,9781904233916,559,3.69,3979,7416
16,44064449,The Girl with the Dragon Tattoo,Stieg Larsson,9781847245458,533,4.14,354,718
17,437129,The Kite Runner,Khaled Hosseini,9780747566533,324,4.3,8920,13112
18,44086934,The Time Traveler's Wife,Audrey Niffenegger,9780099464464,540,3.97,183,506
19,300118,"The World According to Clarkson (World According to Clarkson, #1)",Jeremy Clarkson,9780141017891,327,3.69,4765,7832
20,9961,Atonement,Ian McEwan,9780099429791,372,3.91,5173,8735
21,2548559,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,9780593054277,509,3.71,4443,7326
22,437143,A Short History of Nearly Everything,Bill Bryson,9780552997041,687,4.2,4394,9377
23,3018469,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,9781905654284,768,3.7,2595,4033
24,43509,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,9780747546245,636,4.56,19048,24396
25,820344,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,9780747591061,607,4.62,6882,9321
26,7862519,"The Girl Who Played With Fire (Millennium, #2)",Stieg Larsson,9781849163422,569,4.24,738,1317
27,60749,A Child Called 'It': One Child's Courage to Survive,Dave Pelzer,9780752837505,169,4.11,2140,3162
28,54467120,"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,9780349116754,250,3.79,18,35
29,916641,You Are What You Eat: The Plan that Will change Your Life,Gillian McKeith,9780718147655,,3.8,147,251
30,47347,Man and Boy,Tony Parsons,9780006512134,344,3.57,1018,1876
